"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.08.2008","2.605,72","2.724,43","2.725,93","2.595,92","4,85B","-4,47%"
"07.08.2008","2.727,58","2.717,50","2.742,70","2.691,36","3,95B","0,30%"
"06.08.2008","2.719,37","2.711,60","2.743,11","2.678,86","4,06B","1,06%"
"05.08.2008","2.690,75","2.751,20","2.762,26","2.684,73","4,24B","-1,86%"
"04.08.2008","2.741,74","2.782,99","2.793,26","2.738,85","3,72B","-2,14%"
"01.08.2008","2.801,82","2.751,02","2.830,76","2.721,95","4,92B","0,94%"
"31.07.2008","2.775,72","2.844,65","2.848,00","2.774,10","4,45B","-2,15%"
"30.07.2008","2.836,67","2.884,59","2.894,37","2.822,19","4,89B","-0,48%"
"29.07.2008","2.850,31","2.868,01","2.868,01","2.827,70","5,86B","-1,82%"
"28.07.2008","2.903,01","2.883,76","2.924,45","2.883,76","6,23B","1,32%"
"25.07.2008","2.865,10","2.875,77","2.888,58","2.851,93","6,25B","-1,55%"
"24.07.2008","2.910,29","2.861,81","2.912,70","2.849,10","7,25B","2,55%"
"23.07.2008","2.837,85","2.870,93","2.887,58","2.831,11","6,15B","-0,29%"
"22.07.2008","2.846,12","2.852,44","2.868,62","2.830,76","6,15B","-0,53%"
"21.07.2008","2.861,42","2.759,88","2.865,07","2.745,64","6,65B","2,99%"
"18.07.2008","2.778,37","2.711,74","2.785,53","2.665,91","5,79B","3,49%"
"17.07.2008","2.684,78","2.747,95","2.773,28","2.676,15","5,08B","-0,78%"
"16.07.2008","2.705,87","2.753,90","2.765,15","2.656,61","6,00B","-2,65%"
"15.07.2008","2.779,45","2.886,11","2.896,33","2.769,91","7,09B","-3,43%"
"14.07.2008","2.878,26","2.837,49","2.895,30","2.828,24","5,45B","0,76%"
"11.07.2008","2.856,63","2.863,81","2.888,29","2.821,31","6,48B","-0,65%"
"10.07.2008","2.875,45","2.879,62","2.952,04","2.862,06","9,09B","-1,54%"
"09.07.2008","2.920,55","2.838,86","2.920,55","2.838,86","9,70B","3,75%"
"08.07.2008","2.814,95","2.805,61","2.843,60","2.754,62","8,02B","0,81%"
"07.07.2008","2.792,40","2.673,55","2.801,53","2.673,55","7,74B","4,59%"
"04.07.2008","2.669,89","2.691,21","2.713,48","2.645,83","5,73B","-1,24%"
"03.07.2008","2.703,53","2.610,82","2.746,37","2.566,53","6,81B","1,95%"
"02.07.2008","2.651,72","2.656,04","2.700,90","2.627,90","4,02B","0,00%"
"01.07.2008","2.651,61","2.743,16","2.753,33","2.644,78","4,07B","-3,09%"
"30.06.2008","2.736,10","2.724,40","2.766,80","2.693,40","3,85B","-0,45%"
"27.06.2008","2.748,43","2.809,31","2.822,26","2.723,16","6,05B","-5,29%"
"26.06.2008","2.901,85","2.904,09","2.931,31","2.851,12","6,55B","-0,11%"
"25.06.2008","2.905,01","2.794,04","2.910,48","2.784,42","6,48B","3,64%"
"24.06.2008","2.803,02","2.747,32","2.817,17","2.728,83","4,84B","1,54%"
"23.06.2008","2.760,42","2.780,15","2.813,14","2.741,19","4,07B","-2,52%"
"20.06.2008","2.831,74","2.811,08","2.917,32","2.695,63","7,42B","3,01%"
"19.06.2008","2.748,87","2.921,72","2.921,72","2.742,15","5,68B","-6,54%"
"18.06.2008","2.941,11","2.772,37","2.945,42","2.729,71","6,63B","5,24%"
"17.06.2008","2.794,75","2.873,13","2.893,47","2.769,12","4,33B","-2,76%"
"16.06.2008","2.874,10","2.876,29","2.917,81","2.811,72","4,04B","0,18%"
"13.06.2008","2.868,80","2.960,91","2.976,45","2.865,50","4,11B","-3,00%"
"12.06.2008","2.957,53","3.011,56","3.031,06","2.900,12","4,95B","-2,21%"
"11.06.2008","3.024,24","3.042,16","3.064,20","2.992,35","4,69B","-1,57%"
"10.06.2008","3.072,33","3.202,11","3.215,50","3.045,06","5,09B","-7,73%"
"06.06.2008","3.329,67","3.362,01","3.371,28","3.312,72","3,48B","-0,66%"
"05.06.2008","3.351,64","3.355,93","3.376,34","3.326,54","4,18B","-0,54%"
"04.06.2008","3.369,91","3.424,04","3.428,47","3.341,74","4,80B","-1,93%"
"03.06.2008","3.436,40","3.456,58","3.469,06","3.409,23","5,66B","-0,65%"
"02.06.2008","3.459,04","3.426,20","3.483,61","3.400,72","4,92B","0,75%"
"30.05.2008","3.433,35","3.414,25","3.450,49","3.390,88","4,85B","0,94%"
"29.05.2008","3.401,44","3.447,77","3.481,73","3.400,77","5,14B","-1,66%"
"28.05.2008","3.459,03","3.382,77","3.486,33","3.354,25","5,25B","2,48%"
"27.05.2008","3.375,41","3.355,11","3.383,68","3.333,95","4,25B","0,32%"
"26.05.2008","3.364,54","3.442,29","3.443,99","3.361,99","5,28B","-3,13%"
"23.05.2008","3.473,09","3.473,80","3.521,39","3.435,84","6,00B","-0,36%"
"22.05.2008","3.485,63","3.493,07","3.558,02","3.469,79","6,85B","-1,65%"
"21.05.2008","3.544,19","3.414,34","3.560,53","3.355,08","7,36B","2,93%"
"20.05.2008","3.443,16","3.601,55","3.632,01","3.432,38","6,64B","-4,48%"
"19.05.2008","3.604,76","3.615,59","3.624,84","3.563,61","4,85B","-0,54%"
"16.05.2008","3.624,23","3.637,64","3.661,07","3.582,50","6,48B","-0,36%"
"15.05.2008","3.637,32","3.676,84","3.706,72","3.636,22","8,40B","-0,55%"
"14.05.2008","3.657,43","3.549,67","3.661,97","3.549,67","8,86B","2,73%"
"13.05.2008","3.560,24","3.515,71","3.615,06","3.508,32","9,07B","-1,84%"
"12.05.2008","3.626,98","3.548,61","3.668,86","3.521,88","7,99B","0,37%"
"09.05.2008","3.613,49","3.682,95","3.693,16","3.552,47","8,79B","-1,19%"
"08.05.2008","3.656,84","3.538,92","3.658,05","3.523,03","7,52B","2,17%"
"07.05.2008","3.579,15","3.716,45","3.774,07","3.577,99","9,05B","-4,13%"
"06.05.2008","3.733,50","3.735,85","3.786,02","3.680,99","9,89B","-0,73%"
"05.05.2008","3.761,01","3.739,80","3.768,22","3.696,70","9,97B","1,84%"
"30.04.2008","3.693,11","3.545,57","3.705,09","3.543,02","10,76B","4,82%"
"29.04.2008","3.523,41","3.457,35","3.544,23","3.453,28","6,72B","1,40%"
"28.04.2008","3.474,72","3.497,38","3.530,91","3.460,26","7,57B","-2,33%"
"25.04.2008","3.557,75","3.572,55","3.658,55","3.527,84","12,96B","-0,71%"
"24.04.2008","3.583,03","3.539,87","3.593,20","3.461,64","14,21B","9,29%"
"23.04.2008","3.278,33","3.116,41","3.296,72","3.089,89","6,62B","4,15%"
"22.04.2008","3.147,79","3.076,72","3.148,73","2.990,79","4,88B","0,99%"
"21.04.2008","3.116,98","3.305,15","3.305,17","3.073,56","6,00B","0,72%"
"18.04.2008","3.094,67","3.200,57","3.203,71","3.078,17","4,37B","-3,97%"
"17.04.2008","3.222,74","3.286,41","3.352,95","3.180,20","4,58B","-2,09%"
"16.04.2008","3.291,60","3.349,93","3.363,22","3.283,08","4,01B","-1,69%"
"15.04.2008","3.348,35","3.282,57","3.349,76","3.212,15","4,47B","1,57%"
"14.04.2008","3.296,67","3.419,05","3.427,88","3.285,30","5,03B","-5,62%"
"11.04.2008","3.492,89","3.498,55","3.517,82","3.462,14","4,33B","0,61%"
"10.04.2008","3.471,74","3.378,14","3.474,31","3.344,87","4,55B","1,69%"
"09.04.2008","3.413,91","3.585,85","3.606,89","3.413,07","5,99B","-5,50%"
"08.04.2008","3.612,54","3.604,26","3.656,96","3.563,85","6,55B","0,36%"
"07.04.2008","3.599,62","3.418,52","3.613,48","3.386,51","6,10B","4,45%"
"03.04.2008","3.446,24","3.323,43","3.456,95","3.271,29","5,09B","2,94%"
"02.04.2008","3.347,88","3.370,60","3.464,53","3.283,64","6,55B","0,56%"
"01.04.2008","3.329,16","3.461,09","3.493,13","3.308,90","5,48B","-4,13%"
"31.03.2008","3.472,71","3.465,91","3.555,82","3.445,56","4,71B","-3,00%"
"28.03.2008","3.580,15","3.378,63","3.590,75","3.357,23","6,33B","4,94%"
"27.03.2008","3.411,49","3.541,28","3.541,28","3.407,90","5,51B","-5,42%"
"26.03.2008","3.606,86","3.644,13","3.698,32","3.591,11","4,63B","-0,63%"
"25.03.2008","3.629,62","3.559,94","3.659,21","3.521,53","5,28B","0,09%"
"24.03.2008","3.626,19","3.830,35","3.840,48","3.624,94","5,90B","-4,49%"
"21.03.2008","3.796,58","3.790,11","3.838,06","3.746,39","6,51B","-0,20%"
"20.03.2008","3.804,05","3.721,50","3.857,62","3.516,33","7,33B","1,13%"
"19.03.2008","3.761,61","3.746,05","3.813,89","3.677,82","6,16B","2,53%"
"18.03.2008","3.668,90","3.789,57","3.862,77","3.607,25","5,79B","-3,96%"
"17.03.2008","3.820,05","3.941,26","3.941,26","3.813,00","4,91B","-3,60%"
"14.03.2008","3.962,67","3.956,75","4.000,78","3.891,70","4,14B","-0,22%"
"13.03.2008","3.971,26","4.033,32","4.055,45","3.902,25","6,37B","-2,43%"
"12.03.2008","4.070,12","4.254,67","4.272,98","4.068,78","5,72B","-2,30%"
"11.03.2008","4.165,88","4.121,65","4.165,91","4.063,47","5,13B","0,47%"
"10.03.2008","4.146,30","4.265,61","4.265,61","4.120,53","6,57B","-3,59%"
"07.03.2008","4.300,52","4.315,81","4.341,30","4.265,83","5,67B","-1,39%"
"06.03.2008","4.360,99","4.310,35","4.427,50","4.260,79","8,49B","1,59%"
"05.03.2008","4.292,65","4.316,25","4.352,82","4.210,96","7,41B","-0,99%"
"04.03.2008","4.335,45","4.454,18","4.472,15","4.321,27","8,70B","-2,32%"
"03.03.2008","4.438,27","4.323,70","4.456,96","4.279,35","7,85B","2,06%"
"29.02.2008","4.348,54","4.293,53","4.364,81","4.275,90","4,78B","1,14%"
"28.02.2008","4.299,51","4.343,28","4.344,93","4.265,50","4,79B","-0,80%"
"27.02.2008","4.334,05","4.256,53","4.360,70","4.222,46","5,05B","2,26%"
"26.02.2008","4.238,18","4.302,73","4.331,64","4.123,31","5,57B","1,09%"
"25.02.2008","4.192,53","4.370,19","4.391,33","4.182,77","5,88B","-4,07%"
"22.02.2008","4.370,28","4.500,39","4.500,39","4.333,03","6,76B","-3,47%"
"21.02.2008","4.527,18","4.534,17","4.568,21","4.452,68","6,13B","-0,87%"
"20.02.2008","4.567,03","4.682,59","4.695,80","4.556,81","6,65B","-2,09%"
"19.02.2008","4.664,30","4.582,28","4.665,55","4.544,94","6,07B","2,10%"
"18.02.2008","4.568,15","4.546,75","4.601,22","4.517,60","5,58B","1,58%"
"15.02.2008","4.497,13","4.523,79","4.523,79","4.431,46","4,14B","-1,21%"
"14.02.2008","4.552,32","4.527,05","4.576,98","4.507,94","3,49B","1,37%"
"13.02.2008","4.490,72","4.525,03","4.547,54","4.454,64","3,69B","-2,37%"
"05.02.2008","4.599,70","4.622,54","4.662,97","4.550,43","5,26B","-1,55%"
"04.02.2008","4.672,17","4.415,02","4.672,21","4.415,02","6,34B","8,13%"
"01.02.2008","4.320,77","4.388,25","4.411,70","4.195,75","5,93B","-1,43%"
"31.01.2008","4.383,39","4.408,02","4.487,32","4.368,30","4,51B","-0,78%"
"30.01.2008","4.417,85","4.505,64","4.554,34","4.330,70","5,51B","-0,90%"
"29.01.2008","4.457,94","4.426,27","4.517,60","4.389,52","5,04B","0,87%"
"28.01.2008","4.419,29","4.720,56","4.720,56","4.409,08","6,94B","-7,19%"
"25.01.2008","4.761,69","4.716,98","4.806,89","4.657,71","7,79B","0,93%"
"24.01.2008","4.717,73","4.753,44","4.767,80","4.625,46","9,00B","0,31%"
"23.01.2008","4.703,05","4.572,90","4.705,07","4.510,50","8,80B","3,14%"
"22.01.2008","4.559,75","4.818,00","4.818,00","4.511,95","9,25B","-7,22%"
"21.01.2008","4.914,44","5.188,80","5.200,93","4.891,28","7,56B","-5,14%"
"18.01.2008","5.180,51","5.141,37","5.187,60","5.093,13","6,86B","0,56%"
"17.01.2008","5.151,63","5.235,91","5.312,29","5.039,79","9,89B","-2,63%"
"16.01.2008","5.290,61","5.395,28","5.396,04","5.288,77","8,93B","-2,81%"
"15.01.2008","5.443,79","5.503,93","5.505,03","5.405,60","8,07B","-0,98%"
"14.01.2008","5.497,90","5.507,58","5.522,78","5.456,93","7,87B","0,24%"
"11.01.2008","5.484,68","5.471,39","5.500,06","5.423,81","8,77B","0,52%"
"10.01.2008","5.456,54","5.449,16","5.483,83","5.407,31","9,66B","0,38%"
"09.01.2008","5.435,81","5.365,22","5.437,76","5.346,85","7,68B","0,91%"
"08.01.2008","5.386,53","5.414,56","5.480,07","5.344,65","10,25B","-0,13%"
"07.01.2008","5.393,34","5.357,45","5.403,35","5.332,60","9,19B","0,59%"
"04.01.2008","5.361,57","5.328,41","5.372,46","5.318,46","8,09B","0,78%"
"03.01.2008","5.319,86","5.269,80","5.321,46","5.211,05","9,85B","0,89%"
"02.01.2008","5.272,81","5.265,00","5.295,02","5.201,89","7,66B","0,21%"
"28.12.2007","5.261,56","5.320,01","5.336,50","5.248,69","7,72B","-0,89%"
"27.12.2007","5.308,89","5.248,22","5.316,52","5.203,50","8,73B","1,44%"
"26.12.2007","5.233,35","5.209,03","5.262,59","5.158,76","7,45B","0,62%"
"25.12.2007","5.201,18","5.233,18","5.254,40","5.178,80","7,10B","-0,63%"
"24.12.2007","5.234,26","5.132,91","5.284,34","5.104,65","8,51B","2,60%"
"21.12.2007","5.101,78","5.017,19","5.112,39","5.013,76","6,61B","1,15%"
"20.12.2007","5.043,53","4.965,29","5.050,78","4.923,30","5,77B","2,06%"
"19.12.2007","4.941,78","4.878,07","4.960,42","4.868,35","5,63B","2,18%"
"18.12.2007","4.836,17","4.856,47","4.905,49","4.812,16","4,06B","-0,83%"
"17.12.2007","4.876,76","5.007,28","5.007,35","4.874,62","6,35B","-2,62%"
"14.12.2007","5.007,91","4.899,75","5.011,20","4.860,16","5,31B","1,01%"
"13.12.2007","4.958,04","5.078,18","5.095,15","4.954,36","6,73B","-2,70%"
"12.12.2007","5.095,54","5.148,25","5.149,93","5.054,56","7,22B","-1,54%"
"11.12.2007","5.175,08","5.180,54","5.209,70","5.103,75","6,68B","0,25%"
"10.12.2007","5.161,92","5.010,83","5.168,76","4.990,72","6,88B","1,38%"
"07.12.2007","5.091,76","5.038,48","5.096,80","5.021,37","5,00B","1,13%"
"06.12.2007","5.035,07","5.055,84","5.065,51","4.995,47","4,32B","-0,15%"
"05.12.2007","5.042,65","4.917,36","5.052,75","4.893,32","5,43B","2,58%"
"04.12.2007","4.915,89","4.882,15","4.971,40","4.882,15","4,28B","0,97%"
"03.12.2007","4.868,61","4.838,56","4.899,67","4.798,01","5,38B","-0,07%"
"30.11.2007","4.871,78","4.993,74","4.993,74","4.861,86","4,33B","-2,63%"
"29.11.2007","5.003,33","4.870,86","5.011,19","4.814,78","5,01B","4,16%"
"28.11.2007","4.803,39","4.870,84","4.907,76","4.778,73","3,28B","-1,19%"
"27.11.2007","4.861,11","4.919,91","4.947,08","4.857,04","3,08B","-1,97%"
"26.11.2007","4.958,85","5.102,53","5.124,89","4.952,43","3,68B","-1,46%"
"23.11.2007","5.032,13","4.946,26","5.034,23","4.896,99","3,09B","0,96%"
"22.11.2007","4.984,16","5.113,88","5.154,86","4.969,89","4,04B","-4,41%"
"21.11.2007","5.214,23","5.307,79","5.344,93","5.206,57","4,12B","-1,50%"
"20.11.2007","5.293,70","5.230,74","5.338,17","5.158,54","4,91B","0,45%"
"19.11.2007","5.269,82","5.325,30","5.333,09","5.240,42","4,11B","-0,87%"
"16.11.2007","5.316,27","5.273,08","5.335,51","5.224,31","3,74B","-0,91%"
"15.11.2007","5.365,27","5.391,02","5.453,74","5.338,90","4,78B","-0,88%"
"14.11.2007","5.412,69","5.246,57","5.414,61","5.165,06","5,10B","4,94%"
"13.11.2007","5.158,12","5.239,34","5.311,70","5.085,44","4,92B","-0,57%"
"12.11.2007","5.187,73","5.181,18","5.250,09","5.032,58","5,26B","-2,40%"
"09.11.2007","5.315,54","5.276,01","5.382,70","5.217,63","4,73B","-0,27%"
"08.11.2007","5.330,02","5.559,15","5.559,15","5.328,20","4,89B","-4,85%"
"07.11.2007","5.601,78","5.565,65","5.610,95","5.469,76","4,27B","1,18%"
"06.11.2007","5.536,57","5.593,35","5.649,75","5.510,16","4,51B","-1,74%"
"05.11.2007","5.634,45","5.748,18","5.787,23","5.603,47","6,41B","-2,48%"
"02.11.2007","5.777,81","5.812,47","5.860,59","5.740,40","5,95B","-2,31%"
"01.11.2007","5.914,28","5.978,94","6.005,13","5.912,50","6,49B","-0,68%"
"31.10.2007","5.954,77","5.984,71","6.002,12","5.871,48","7,10B","0,98%"
"30.10.2007","5.897,19","5.769,20","5.899,65","5.701,34","5,43B","2,60%"
"29.10.2007","5.748,00","5.641,98","5.750,25","5.617,98","5,02B","2,83%"
"26.10.2007","5.589,63","5.498,86","5.628,83","5.462,01","5,15B","0,49%"
"25.10.2007","5.562,39","5.794,22","5.819,88","5.546,04","7,17B","-4,80%"
"24.10.2007","5.843,11","5.804,02","5.906,69","5.793,56","6,03B","1,21%"
"23.10.2007","5.773,39","5.660,07","5.776,02","5.574,84","5,85B","1,87%"
"22.10.2007","5.667,33","5.742,79","5.804,84","5.654,91","5,44B","-2,59%"
"19.10.2007","5.818,05","5.869,12","5.932,11","5.766,86","5,52B","-0,12%"
"18.10.2007","5.825,28","6.031,92","6.055,47","5.804,97","6,98B","-3,50%"
"17.10.2007","6.036,28","6.057,43","6.088,89","5.982,20","7,13B","-0,92%"
"16.10.2007","6.092,06","6.056,95","6.124,04","6.040,71","8,82B","1,03%"
"15.10.2007","6.030,09","5.934,77","6.039,04","5.866,13","9,87B","2,15%"
"12.10.2007","5.903,26","5.950,90","5.959,36","5.658,81","11,91B","-0,17%"
"11.10.2007","5.913,23","5.798,39","5.914,77","5.755,99","9,47B","2,46%"
"10.10.2007","5.771,46","5.742,65","5.860,86","5.727,24","9,24B","0,97%"
"09.10.2007","5.715,89","5.678,91","5.725,41","5.628,35","8,33B","0,41%"
"08.10.2007","5.692,76","5.683,31","5.729,96","5.620,00","9,60B","2,53%"
"28.09.2007","5.552,30","5.461,58","5.560,42","5.461,58","8,06B","2,64%"
"27.09.2007","5.409,40","5.338,11","5.411,19","5.306,82","5,89B","1,33%"
"26.09.2007","5.338,52","5.407,83","5.463,90","5.320,02","6,36B","-1,61%"
"25.09.2007","5.425,88","5.500,27","5.509,23","5.396,48","9,65B","-1,08%"
"24.09.2007","5.485,01","5.469,84","5.506,06","5.404,42","8,18B","0,56%"
"21.09.2007","5.454,67","5.482,51","5.489,07","5.363,35","9,28B","-0,28%"
"20.09.2007","5.470,06","5.408,48","5.482,43","5.396,11","8,65B","1,39%"
"19.09.2007","5.395,27","5.439,02","5.447,36","5.336,07","8,97B","-0,55%"
"18.09.2007","5.425,21","5.446,73","5.458,58","5.339,92","10,27B","0,07%"
"17.09.2007","5.421,39","5.309,06","5.427,17","5.307,77","10,56B","2,06%"
"14.09.2007","5.312,18","5.290,26","5.324,44","5.201,85","9,47B","0,73%"
"13.09.2007","5.273,59","5.193,41","5.276,77","5.178,87","8,65B","1,95%"
"12.09.2007","5.172,63","5.092,58","5.192,30","5.025,34","9,71B","1,15%"
"11.09.2007","5.113,97","5.362,94","5.395,04","5.093,92","11,01B","-4,51%"
"10.09.2007","5.355,29","5.208,32","5.356,86","5.169,90","10,24B","1,48%"
"07.09.2007","5.277,18","5.381,19","5.405,36","5.269,25","11,98B","-2,16%"
"06.09.2007","5.393,66","5.336,67","5.412,32","5.314,34","10,70B","1,56%"
"05.09.2007","5.310,72","5.296,07","5.337,93","5.223,67","9,62B","0,31%"
"04.09.2007","5.294,05","5.333,40","5.357,93","5.265,00","12,04B","-0,51%"
"03.09.2007","5.321,06","5.257,78","5.327,54","5.257,78","12,58B","1,96%"
"31.08.2007","5.218,82","5.184,09","5.235,16","5.158,37","10,36B","0,99%"
"30.08.2007","5.167,88","5.144,11","5.186,53","5.109,66","10,12B","1,14%"
"29.08.2007","5.109,43","5.147,71","5.204,53","5.063,41","10,08B","-1,64%"
"28.08.2007","5.194,69","5.134,14","5.209,51","5.058,45","10,54B","0,87%"
"27.08.2007","5.150,12","5.144,82","5.192,06","5.092,08","11,62B","0,83%"
"24.08.2007","5.107,67","5.070,65","5.125,36","5.052,24","10,90B","1,49%"
"23.08.2007","5.032,49","5.002,84","5.050,38","4.968,33","9,93B","1,05%"
"22.08.2007","4.980,07","4.876,35","4.999,19","4.861,27","10,81B","0,50%"
"21.08.2007","4.955,21","4.944,21","4.982,98","4.917,82","10,42B","1,03%"
"20.08.2007","4.904,85","4.773,83","4.906,00","4.758,40","9,92B","5,33%"
"17.08.2007","4.656,57","4.733,14","4.814,37","4.646,43","9,12B","-2,28%"
"16.08.2007","4.765,45","4.845,02","4.845,02","4.710,31","9,05B","-2,14%"
"15.08.2007","4.869,88","4.875,51","4.916,31","4.762,72","9,05B","-0,06%"
"14.08.2007","4.872,78","4.820,15","4.876,85","4.789,90","8,86B","1,09%"
"13.08.2007","4.820,06","4.768,62","4.872,55","4.728,89","11,42B","1,49%"
"10.08.2007","4.749,37","4.745,18","4.769,62","4.640,77","10,19B","-0,10%"
"09.08.2007","4.754,10","4.658,59","4.768,89","4.658,59","9,77B","1,95%"
"08.08.2007","4.663,16","4.614,59","4.711,32","4.568,69","11,89B","0,26%"
"07.08.2007","4.651,23","4.642,01","4.687,44","4.581,29","11,62B","0,50%"
"06.08.2007","4.628,11","4.600,12","4.629,97","4.564,31","11,17B","1,48%"
"03.08.2007","4.560,77","4.440,98","4.562,69","4.438,96","11,51B","3,47%"
"02.08.2007","4.407,73","4.316,57","4.431,85","4.290,81","9,83B","2,49%"
"01.08.2007","4.300,56","4.488,77","4.502,30","4.284,87","12,63B","-3,81%"
"31.07.2007","4.471,03","4.432,27","4.476,63","4.379,20","10,86B","0,68%"
"30.07.2007","4.440,77","4.348,61","4.450,19","4.345,79","11,26B","2,20%"
"27.07.2007","4.345,36","4.315,37","4.357,34","4.268,79","10,02B","-0,03%"
"26.07.2007","4.346,46","4.347,78","4.371,51","4.304,19","9,92B","0,52%"
"25.07.2007","4.323,97","4.212,95","4.325,38","4.212,23","9,40B","2,70%"
"24.07.2007","4.210,33","4.238,32","4.284,83","4.192,72","11,10B","-0,07%"
"23.07.2007","4.213,36","4.091,24","4.220,32","4.091,24","12,17B","3,81%"
"20.07.2007","4.058,85","3.918,41","4.062,12","3.918,41","8,31B","3,73%"
"19.07.2007","3.912,94","3.918,54","3.947,33","3.887,59","4,87B","-0,44%"
"18.07.2007","3.930,06","3.880,85","3.971,61","3.861,91","6,29B","0,87%"
"17.07.2007","3.896,19","3.809,56","3.919,78","3.767,22","4,87B","1,94%"
"16.07.2007","3.821,92","3.920,65","3.931,87","3.820,57","4,76B","-2,36%"
"13.07.2007","3.914,39","3.920,83","3.935,51","3.878,18","4,60B","-0,04%"
"12.07.2007","3.915,99","3.874,04","3.925,60","3.861,04","5,52B","1,30%"
"11.07.2007","3.865,72","3.837,80","3.879,29","3.812,14","5,14B","0,33%"
"10.07.2007","3.853,02","3.895,91","3.929,42","3.841,80","7,66B","-0,78%"
"09.07.2007","3.883,22","3.809,67","3.900,90","3.782,73","8,35B","2,69%"
"06.07.2007","3.781,35","3.599,82","3.785,35","3.563,54","8,07B","4,58%"
"05.07.2007","3.615,87","3.769,64","3.778,40","3.614,53","6,34B","-5,25%"
"04.07.2007","3.816,16","3.906,01","3.916,47","3.800,28","5,65B","-2,14%"
"03.07.2007","3.899,72","3.854,72","3.906,76","3.821,46","6,97B","1,65%"
"02.07.2007","3.836,29","3.800,23","3.859,86","3.724,19","7,43B","0,41%"
"29.06.2007","3.820,70","3.824,29","3.919,34","3.779,81","8,61B","-2,39%"
"28.06.2007","3.914,20","4.080,19","4.113,28","3.912,81","9,78B","-4,03%"
"27.06.2007","4.078,60","3.985,72","4.090,72","3.948,29","9,51B","2,65%"
"26.06.2007","3.973,37","3.863,25","3.976,19","3.818,85","9,38B","0,82%"
"25.06.2007","3.941,08","4.102,79","4.131,13","3.912,42","10,16B","-3,68%"
"22.06.2007","4.091,45","4.230,97","4.249,43","4.024,49","11,97B","-3,29%"
"21.06.2007","4.230,82","4.170,89","4.256,54","4.147,05","11,29B","1,18%"
"20.06.2007","4.181,32","4.269,45","4.312,00","4.164,27","13,52B","-2,07%"
"19.06.2007","4.269,52","4.247,74","4.280,85","4.209,57","12,46B","0,38%"
"18.06.2007","4.253,35","4.195,39","4.267,74","4.193,31","12,90B","2,92%"
"15.06.2007","4.132,87","4.085,66","4.152,54","4.067,36","10,87B","0,43%"
"14.06.2007","4.115,21","4.162,21","4.179,73","4.085,78","13,84B","-1,47%"
"13.06.2007","4.176,48","4.110,74","4.193,45","4.102,04","16,69B","2,56%"
"12.06.2007","4.072,14","4.011,68","4.073,18","3.910,00","14,95B","1,91%"
"11.06.2007","3.995,68","3.942,01","4.000,42","3.930,74","13,38B","2,11%"
"08.06.2007","3.913,14","3.900,03","3.935,79","3.852,05","13,59B","0,57%"
"07.06.2007","3.890,80","3.787,70","3.891,40","3.779,50","14,24B","3,03%"
"06.06.2007","3.776,32","3.781,38","3.821,70","3.682,79","14,59B","0,24%"
"05.06.2007","3.767,10","3.564,43","3.768,56","3.404,15","15,71B","2,63%"
"04.06.2007","3.670,40","3.981,82","3.987,27","3.659,09","11,49B","-8,26%"
"01.06.2007","4.000,74","4.120,63","4.181,28","3.966,98","16,09B","-2,65%"
"31.05.2007","4.109,65","4.006,28","4.178,11","3.858,04","17,31B","1,40%"
"30.05.2007","4.053,09","4.087,41","4.275,24","4.015,51","18,56B","-6,50%"
"29.05.2007","4.334,92","4.288,98","4.335,96","4.262,02","17,21B","1,47%"
"28.05.2007","4.272,11","4.221,58","4.283,93","4.215,24","17,86B","2,21%"
"25.05.2007","4.179,78","4.133,19","4.190,47","4.111,26","15,42B","0,69%"
"24.05.2007","4.151,13","4.188,68","4.208,39","4.089,39","18,10B","-0,54%"
"23.05.2007","4.173,71","4.125,43","4.175,44","4.093,91","16,14B","1,54%"
"22.05.2007","4.110,38","4.091,14","4.136,63","4.086,82","17,36B","0,94%"
"21.05.2007","4.072,22","3.902,35","4.083,42","3.892,97","15,62B","1,04%"
"18.05.2007","4.030,26","4.041,39","4.052,10","3.999,16","13,08B","-0,45%"
"17.05.2007","4.048,29","4.002,49","4.064,28","3.982,99","13,93B","1,56%"
"16.05.2007","3.986,04","3.890,81","3.987,41","3.845,23","13,17B","2,23%"
"15.05.2007","3.899,18","4.055,83","4.069,85","3.891,36","15,67B","-3,64%"
"14.05.2007","4.046,39","3.970,66","4.081,43","3.940,36","13,93B","0,61%"
"11.05.2007","4.021,68","4.024,42","4.039,67","3.949,37","14,06B","-0,69%"
"10.05.2007","4.049,70","4.021,42","4.072,14","3.991,48","17,11B","0,91%"
"09.05.2007","4.013,09","3.961,10","4.015,22","3.875,38","20,84B","1,60%"
"08.05.2007","3.950,01","3.937,94","3.964,71","3.901,33","16,06B","2,83%"
"30.04.2007","3.841,27","3.784,27","3.851,35","3.759,48","14,65B","2,16%"
"27.04.2007","3.759,87","3.788,75","3.802,92","3.720,60","13,22B","-0,61%"
"26.04.2007","3.783,06","3.766,48","3.784,68","3.732,60","11,73B","1,04%"
"25.04.2007","3.743,96","3.708,57","3.769,25","3.653,99","15,18B","0,63%"
"24.04.2007","3.720,53","3.736,15","3.762,39","3.689,13","17,44B","0,26%"
"23.04.2007","3.710,89","3.615,79","3.710,89","3.615,79","16,35B","3,53%"
"20.04.2007","3.584,20","3.460,90","3.591,46","3.460,90","13,89B","3,92%"
"19.04.2007","3.449,02","3.610,02","3.617,44","3.358,93","17,27B","-4,52%"
